id,title,link,source,property_type,transaction_type,price,currency,price_type,surface,number_of_rooms,number_of_salle_de_bain,bedrooms,floor,total_floor,region,description,language,image_count,image_url,date_posted,seller_type,agency_name,has_ascenseur,has_cave,has_chauffage,has_climatisseur,has_jardin,has_meubles,has_parking,has_piscine,has_security,has_terrasse,has_vue_sur_mer
3454793,Offres de Vente à Ezzahra (Hammam El Ghezaz) - Appartement de luxe avec vue sur mer,http://www.tunisie-annonce.com/Details_Annonces_Immobilier.asp?cod_ann=3454793&titre=Appartement de luxe avec vue sur mer,Tunisie Annonce,appartement,Vente,245000.0,TND,fixed,100 m2,,,,,,Localisation Tunisie>Nabeul>Hammam El Ghezaz>Ezzahra,"référence : v 2400luxueux appartement avec terrasse vue sur mer à seulement 40 mètres de la plage ezzahra hammam ghezezsuperficie : 100 mètres carrésde type s2 :un salon spacieux et lumineux, avec terrasse vue sur merdeux chambres à coucher confortables, avec leurs dressingune cuisine moderneune salle deau avec douchecet appartement représente une excellente opportunité pour un investissement locatif.",fr,6,"http://www.tunisie-annonce.com/Images/Banners/pub/ecole_e12c_sofi/ecole_12c_468x60.png,http://www.tunisie-annonce.com/upload2/202603/tunisie-annonce.com/photos/439531_20260326_143707.jpg,http://www.tunisie-annonce.com/upload2/202603/tunisie-annonce.com/photos/439531_20260326_143720.jpg,http://www.tunisie-annonce.com/upload2/202603/tunisie-annonce.com/photos/439531_20260326_143734.jpg,http://www.tunisie-annonce.com/upload2/202603/tunisie-annonce.com/photos/439531_20260326_143741.jpg,http://www.tunisie-annonce.com/upload2/202603/tunisie-annonce.com/photos/439531_20260326_143751.jpg",2026-03-26,individual,Tél :+216 55 461 455Mob :+216 72 275 000Mail :Envoyer un Message,False,False,False,False,False,False,False,False,False,True,True
3393449,Offres de Vente à El Menzah 4 (El Menzah) - Villa de plain pied à menzah 4,http://www.tunisie-annonce.com/Details_Annonces_Immobilier.asp?cod_ann=3393449&titre=Villa de plain pied à menzah 4,Tunisie Annonce,maison,Vente,1950000.0,TND,fixed,663 m2,,,,,,Localisation Tunisie>Tunis>El Menzah>El Menzah 4,"lagence immobilière good life vous présente à la vente une villa en s+3 de plain-pied, issue dune ancienne construction, située à menzah 4.la villa bénéficie dune superficie bâtie de 150 m2 sur un terrain de 663 m2.autorisation de bâtir en r+2.pour une visite ou plus de renseignements, merci de nous contacter par téléphone ou via whatsapp au 29924039.",fr,2,"http://www.tunisie-annonce.com/Images/Banners/pub/ecole_e12c_sofi/ecole_12c_468x60.png,http://www.tunisie-annonce.com/upload2/202504/tunisie-annonce.com/photos/788348_20250408_101852.jpg",2026-03-26,individual,Tél :+216 29 590 646Mob :+216 29 924 039Mail :Envoyer un Message,False,False,False,False,False,False,False,False,False,False,False
3222061,Offres de Vente à Kalaa Essghira (Kalaa Essghira) - Villa neuf pour famille,http://www.tunisie-annonce.com/Details_Annonces_Immobilier.asp?cod_ann=3222061&titre=Villa neuf pour famille,Tunisie Annonce,maison,Vente,270000.0,TND,fixed,840 m2,,,,,,Localisation Tunisie>Sousse>Kalaa Essghira>Kalaa Essghira,a vendre villa neuf pour famille a kalaa essghira surface terrain 640 m2 surface couvert 200 m2 composé 03 chambres salon cuisine salle de bain terrasse garage jardin titre foncier,fr,1,http://www.tunisie-annonce.com/Images/Banners/pub/ecole_e12c_sofi/ecole_12c_468x60.png,2026-03-26,individual,Tél :96449326Mob :23404967Fax :23404967Mail :Envoyer un Message,False,False,False,False,True,False,True,False,False,True,False
3400248,Offres de Vente à Jardins de Carthage (Ain Zaghouan) - Un projet en cours aux jardins de carthage,http://www.tunisie-annonce.com/Details_Annonces_Immobilier.asp?cod_ann=3400248&titre=Un projet en cours aux jardins de carthage,Tunisie Annonce,maison,Vente,388000.0,TND,fixed,120 m2,,,,,,Localisation Tunisie>Tunis>Ain Zaghouan>Jardins de Carthage,agence immobilière le carré 9 vous propose à la vente un projet immobilière en cours représenté par une résidence de très haut standing de vocation r7 bien située aux jardins de carthage.la résidence comporte des appartements s2 du rdc au 7ème étage de superficie 120m2 à 672000dt et 125m2 à 700000dt ainsi des s3 du rdc au 7ème étage de 170m2 à 952000dt et 175m2 à 980000dt.chaque appartement se compose comme suit:la partie jour abrite un salon avec un balcon une cuisine installée et équipée (hotte aspirante plaque four micro-onde et lave vaisselle encastrables) avec séchoir et une salle d'eau invités.la partie nuit loge 3 suites (ou bien 2) dont une avec une salle de bain.les appartements sont équipés du chauffage et de la climatisation centrale.une place de parking sera disponible à 20000dt.pour plus d'informations veuillez nous contacter au 28177388 ou bien 23219610.ref112a,fr,6,"http://www.tunisie-annonce.com/Images/Banners/pub/ecole_e12c_sofi/ecole_12c_468x60.png,http://www.tunisie-annonce.com/upload2/202505/tunisie-annonce.com/photos/376570_20250507_172118.jpg,http://www.tunisie-annonce.com/upload2/202505/tunisie-annonce.com/photos/376570_20250507_172133.jpg,http://www.tunisie-annonce.com/upload2/202505/tunisie-annonce.com/photos/376570_20250507_172148.jpg,http://www.tunisie-annonce.com/upload2/202505/tunisie-annonce.com/photos/376570_20250507_172203.jpg,http://www.tunisie-annonce.com/upload2/202505/tunisie-annonce.com/photos/376570_20250507_172218.jpg",2026-03-26,individual,Tél :+216 28 177 388Mob :+216 27 418 610Fax :+216 70 725 506Mail :Envoyer un Message,False,False,True,True,True,False,True,False,False,True,False
3127365,Offres de Vente à El Kantaoui (Hammam Sousse) - Villa de vos rêves à el kantaoui,http://www.tunisie-annonce.com/Details_Annonces_Immobilier.asp?cod_ann=3127365&titre=Villa de vos rêves à el kantaoui,Tunisie Annonce,maison,Vente,700000.0,TND,fixed,1 521 m2,,,,,,Localisation Tunisie>Sousse>Hammam Sousse>El Kantaoui,belle villa de maître bâtie sur un terrain de 1521 m2 villa située à la baie desanges el kantaouivilla de 3 niveaux rez de jardin rez de chaussée plus 1 étage piscine couverteintérieure plus piscine extérieure prix demandé 8 millions dinarsinfos et visite s'adresser à l'immobilière du lac h sousse au +216 73 370 942 où+216 99 904 113 et +216 23 713 406,fr,4,"http://www.tunisie-annonce.com/Images/Banners/pub/ecole_e12c_sofi/ecole_12c_468x60.png,http://www.tunisie-annonce.com/upload2/202208/tunisie-annonce.com/photos/6321_20220821_135358.jpg,http://www.tunisie-annonce.com/upload2/202208/tunisie-annonce.com/photos/6321_20220821_135441.jpg,http://www.tunisie-annonce.com/upload2/202208/tunisie-annonce.com/photos/6321_20220821_135523.jpg",2026-03-26,agency,Agence Immobiliére du lacRue El Maamoun4011 KANTAOUI - HAMMAM SOUSSETél :+216 73 370 942Mob :+216 99 904 113Fax :+216 73 370 942Mail :Envoyer un Message,False,False,False,False,True,False,False,True,False,False,False
3328704,Offres de Vente à Hammam Sousse Gharbi (Hammam Sousse) - Appts  s3 à h sousse,http://www.tunisie-annonce.com/Details_Annonces_Immobilier.asp?cod_ann=3328704&titre=Appts  s3 à h sousse,Tunisie Annonce,appartement,Vente,700000.0,TND,fixed,110 m2,,,,,,Localisation Tunisie>Sousse>Hammam Sousse>Hammam Sousse Gharbi,"proches du lycée h-sousse 2 ,appts s+3 mis en vente , appts tout neuf finition encours , superficie habitable soit 110 m2 au prix de 280 000 dt titre foncier indoù superficie 125 m2 au prix de 320 000 dt titre foncier individuel .appts comprenant un salon salle à manger 3 chambres salle d'eau avec douche cuisine agencée terrasse chauffage central ascenseur parkingextérieur infos et visite contactez l'immobilière du lac h sousseau +216 73 370 942 où +216 99 904 113 et +216 23 713 406",fr,6,"http://www.tunisie-annonce.com/Images/Banners/pub/ecole_e12c_sofi/ecole_12c_468x60.png,http://www.tunisie-annonce.com/upload2/202407/tunisie-annonce.com/photos/6321_20240709_140831.jpg,http://www.tunisie-annonce.com/upload2/202407/tunisie-annonce.com/photos/6321_20240709_140853.jpg,http://www.tunisie-annonce.com/upload2/202407/tunisie-annonce.com/photos/6321_20240709_140908.jpg,http://www.tunisie-annonce.com/upload2/202407/tunisie-annonce.com/photos/6321_20240709_140932.jpg,http://www.tunisie-annonce.com/upload2/202407/tunisie-annonce.com/photos/6321_20240709_140956.jpg",2026-03-26,agency,Agence Immobiliére du lacRue El Maamoun4011 KANTAOUI - HAMMAM SOUSSETél :+216 73 370 942Mob :+216 99 904 113Fax :+216 73 370 942Mail :Envoyer un Message,True,False,True,False,False,False,True,False,False,True,False
3454790,Offres de Vente à Sidi Hmed (Hammamet) - Terrain clôturé,http://www.tunisie-annonce.com/Details_Annonces_Immobilier.asp?cod_ann=3454790&titre=Terrain clôturé,Tunisie Annonce,others,Vente,245000.0,TND,fixed,500 m2,,,,,,Localisation Tunisie>Nabeul>Hammamet>Sidi Hmed,"terrain clôturé à sidi hammad pas loin de hammamet sud avec arbres fruitiers , porte coulissante, bon voisinage, papi en règlezone davenirsurface 500 m2appeler 46 809 686 ou bien 50 809 488non sérieux sabstenir",fr,1,http://www.tunisie-annonce.com/Images/Banners/pub/ecole_e12c_sofi/ecole_12c_468x60.png,2026-03-26,individual,Tél :+216 50 809 488Mob :+216 46 809 686Mail :Envoyer un Message,False,False,False,False,False,False,False,False,False,False,False
3454640,Offres de Vente à Ben Arous (Ben Arous) - Grande maison à ben arous,http://www.tunisie-annonce.com/Details_Annonces_Immobilier.asp?cod_ann=3454640&titre=Grande maison à ben arous,Tunisie Annonce,maison,Vente,11111.0,TND,fixed,374.0,,,,,,Localisation Tunisie>Ben arous>Ben Arous>Ben Arous,à vendre grande maison a ben arous de 500 m2 de surface avec une surface battie de 300 m2 au rez de chaussé et un 1er etage non finielle situé dans un emplacement qui peut etre exploité dans des ivestissements commerciales pres du marché 7ay el2skanpour plus de detailles et faire des visites contactez 54 227 762,fr,1,http://www.tunisie-annonce.com/Images/Banners/pub/ecole_e12c_sofi/ecole_12c_468x60.png,2026-03-26,individual,Tél :+216 54 227 762Mob :+216 54 227 762Mail :Envoyer un Message,False,False,False,False,False,False,False,False,False,False,False
3454637,Offres de Vente à Bab El Jazira (Bab Bhar) - Appartement à bab el falla,http://www.tunisie-annonce.com/Details_Annonces_Immobilier.asp?cod_ann=3454637&titre=Appartement à bab el falla,Tunisie Annonce,appartement,Vente,170000.0,TND,fixed,100 m2,,,,,,Localisation Tunisie>Tunis>Bab Bhar>Bab El Jazira,à vendre un appartement situé au centre ville tunis à bab el falla au 1er etage composé d un salon 2 chambresun tres bel emplacement prés des differents types de commoditésprix 90000 dtpour plus de detaille contactez 54227762,fr,1,http://www.tunisie-annonce.com/Images/Banners/pub/ecole_e12c_sofi/ecole_12c_468x60.png,2026-03-26,individual,Tél :+216 54 227 762Mob :+216 54 227 762Mail :Envoyer un Message,False,False,False,False,False,False,False,False,False,False,False
2964649,Offres de Vente à Raoued (Raoued) - A saisir immeuble face a la mer vue panoramique,http://www.tunisie-annonce.com/Details_Annonces_Immobilier.asp?cod_ann=2964649&titre=A saisir immeuble face a la mer vue panoramique,Tunisie Annonce,maison,Vente,720000.0,TND,fixed,300 m2,,,,,,Localisation Tunisie>Ariana>Raoued>Raoued,"monsieur vivant en france vend immeuble a finir , situation rare et exceptionnel , vue panoramique sur la mer , le lac et la forêt de gammarth , zone d avenir , prix a débattretel pour visite : 00 216 24 189 097 ( disponible sur whatsapp )",fr,1,http://www.tunisie-annonce.com/Images/Banners/pub/ecole_e12c_sofi/ecole_12c_468x60.png,2026-03-26,individual,Tél :+216 24 189 097Mob :+216 24 189 097Mail :Envoyer un Message,False,False,False,False,False,False,False,False,False,False,False
